id,state,type_of_auth,notes1,notes2,notes3,
1,AL,Substitute License,Valid throughout AL once issued,,,
2,AK,Substitute Teacher (20 days or more),,,,
3,AK,Substitute Teacher (< 20 days),,,,
4,AZ,Substitute Certificate,Substitute cert. not required if hold valid AZ teaching or administrator license,,,
5,AZ,Emergency Substitute Certificate,Valid only in school district that verifies emergency ,Associate's degree can be used to satisfy education requirement but no degree beyond HS required,,
6,AR,Waiver for Long-Term Substitute Teachers,,,,
7,AR,Waiver for Substitute Teachers,,,,
8,CA,Emergency 30 Day Substitute Teaching Permit,Meet basic skills requirement by (a) passing California Basic Educational Skills Test (CBEST); (b) passing California Subject Examinations for Teachers (CSET); (c) passing California State University (CSU) Early Assessment Program (EAP) or CSU Placement Examinations; (d) achieving a qualifying score on the SAT or ACT; (e) achieving qualifying score on certain Advanced Placement exams; OR (f) pass basic skills examination given by another state,,,
9,CA,Emergency Substitute Teaching Permit for Prospective Teachers,Same as above,,,
10,CA,Emergency Career Substitute Permit,Same as above,"Verification by employer of either (a) 3 consecutive years (immediately preceding application) of at least 90 days per year sub teaching in district in which requesting permit; or (b) if county ed. board assigns subs, 3 consecutive years (immediately preceding application) of at least 90 days per year sub teaching in any district in the county in which requesting permit",,
11,CO,One Year Substitute Authorization,"Applicant must be requested by school district prior to authorization, and authorization may be used only in that district",,,
12,CO,Three Year Substitute Authorization,,,,
13,CO,Five Year Substitute Authorization,,,,
14,CT,Waiver for Substitute Teaching Without Bachelor's Degree, At least 18 years of age,Have prior successful experience with school-age children,,
15,CT,Substitute Teaching Without Certification,,,,
16,DE,N/A,,,,
17,DC,Substitute License,,,,
18,FL,Substitute Authorization,Districts must create performance review standards for subs in single assignment for more than 30 days,"Training required for all subs, and if sub has no classroom experience, must be provided with additional training",,
19,GA,Substitute Teacher , Preference must be given to subs holding credential in following order: (a) valid or expired Induction teaching cert.; (b) valid or expired renewable teaching cert.; (c) valid or expired GA Cert. of Eligibility for Induction or renewable teaching cert. AND bachelorÍs degree from GaPSC-accepted accredited institution; (d) valid GA Retired Educator cert.; (e) completion of bachelorÍs degree from GaPSC-accepted accredited institution; (f) completion of 1 or more years of college (ranked by number of years completed); (h) HS degree; and (i) GED,Four hours of training made available by hiring district,,
20,HI,Class III,"30-hour Substitute Teacher Course (with certain exceptions for recently graduated, licensed teachers and certain DOE retired teachers)",,,
21,HI,Class II,"30-hour Substitute Teacher Course (with certain exceptions for recently graduated, licensed teachers and certain DOE retired teachers)",Substitute Teacher Course Completion Certificate,,
22,HI,Class I,"30-hour Substitute Teacher Course (with certain exceptions for recently graduated, licensed teachers and certain DOE retired teachers)",Substitute Teacher Course Completion Certificate,,
23,ID,N/A,,,,
24,IL,Substitute Teaching License,Paraprofessionals cannot be used as subs,"Anyone holding a valid, active IL teaching license and at least BA, does not need sub teaching license",,
25,IN,Substitute Teacher Permit,,Must be at least 18 years old,"Anyone with following valid IN licenses may serve as sub without permit: initial practitioner, practitioner license; proficient practitioner, standard, provisional, professional, and accomplished practitioner license; emergency permit; visiting teacher permit; adjunct teacher permit; reciprocal permit; or transition to teaching permit",
26,IA,Substitute Teaching License,"To renew, must do one of the following: (a) complete at least 30 days of sub teaching during the term of the license or 1 year teaching experience within last 5 years completed during term of valid IA teaching license; (b) complete school district approved course for renewal; (c) 1 semester hour of credit from community college or 4-year college or univ.",,,
27,IA,Substitute Authorization,Must be at least 21 years old,Paraeducators are only permitted to sub in special ed. classroom for which they are paraeducator,"Must complete sub authorization program of at least 15 hours that covers classroom management, strategies for learning, diversity, and ethics",
28,KS,Standard Substitute License,"To renew, must earn 50 prof. development points within 5 years of initial cert. under individual development plan",,,
29,KS,Emergency Authorization,,,,
30,KY,Substitute Teacher Certification,"Preference must be given to subs holding credential listed in the following order: (a) regular cert. corresponding to grade level of assignment; (b) regular cert. for classroom teaching at any grade level; (c) Substitute Teacher Cert.; (d) bachelorÍs degree; (e) at least 96 hours of college credit; (f) from 64 to 96 hours of college credit; and (g) emer. cert. for teaching in health, technical, or occupation with 4 years occupational experience in area in which teaching and HS degree or GED",,,
31,KY,Emergency Substitute Teacher Certification,Same as above,,,
32,KY,Emergency Substitute Teacher Certification - Career and Technical Education,Same as above,,,
33,LA,N/A,LA Board of Ed rules prohibit inclusion of substitute teaching in responsibilities of school counselors,,,
34,ME,"Substitute Certified, within Cert. Area",,,,
35,ME,"Substitute Certified, Teaching Outside Cert. Area",,,,
36,ME,Non-Certified Substitute with Two Years of College,,,,
