State,Substitute<br/>Teacher Salary,Teacher<br/>Salary,% Free and<br/>Reduced Lunch,Reading<br/>(4th grade 2015),Reading<br/>(8th grade 2015),Math<br/>(4th grade 2015),Math<br/>(8th grade 2015)
AL,17670,47949,55.1,217.04909,258.753762,230.977423,266.555319
AK,45900,65468,38.4,212.7926,260.317019,236.328417,280.493456
AZ,26950,49885,45.2,215.311336,262.769392,237.611755,282.919489
AR,28823,46631,60.5,218.077496,258.768268,235.21547,275.064756
CA,38670,69324,54.1,212.677949,258.986843,231.549345,275.324573
CO,28823,49844,39.9,224.023225,268.073225,241.563576,285.539189
CT,31470,69397,34.5,228.947543,273.04803,240.159469,283.956677
DE,26020,59679,48,223.698697,262.613291,238.678019,279.810244
DC,30390,53649,73,212.305348,247.653445,231.307525,263.059776
FL,24210,46598,56,227.188969,263.383001,242.664321,275.323818
GA,23180,52880,57.4,222.013497,262.268605,236.452519,278.711797
HI,42590,54300,46.8,215.124313,257.35044,237.895807,279.340145
ID,19630,49734,45,221.690066,268.55348,238.799625,283.742325
IL,36630,59113,46.7,222.022268,266.806728,237.307814,281.968567
IN,26020,50065,46.8,227.278891,268.253468,247.652184,287.175201
IA,28280,50946,38.9,223.629399,268.200596,243.339912,286.41622
KS,31530,47464,47.7,221.08988,266.765531,241.067209,283.871096
KY,25850,50203,56.6,228.055168,267.7729,241.727762,277.94726
LA,28300,51381,66.2,216.199337,255.469418,234.281902,268.432355
ME,22170,48430,43,223.728608,268.391236,242.244654,284.875477
MD,34250,64248,40.1,222.94419,267.90553,239.499751,283.149034
MA,30990,72334,34.2,235.275423,274.497568,250.565778,296.908571
MI,25620,61560,46.4,216.30663,264.496755,235.728894,278.168652
MN,33700,56268,36.5,223.35292,270.236818,249.575847,294.147778
MS,28823,41814,70.6,214.110687,251.976165,234.243053,270.580479
MO,25430,47517,45,222.725517,266.876352,238.964923,280.821426
MT,22860,48855,41.2,224.757394,269.956778,241.287048,287.464006
NE,33470,48997,42.6,226.634611,269.426211,243.863667,286.498563
NV,27840,55957,50.3,214.425584,259.417376,233.827016,275.171869
NH,23050,55599,25.2,231.949848,274.806746,249.150621,294.413019
NJ,29950,68797,32.8,229.487674,270.853712,245.38322,293.365938
NM,21820,45453,67.6,207.240446,253.227768,231.167236,270.897534
NY,34720,75279,48.3,222.646303,263.247659,236.796927,280.08922
NC,23540,45737,50.3,225.810591,260.594557,243.742267,281.331091
ND,38640,47344,31.7,224.691984,266.955323,244.713831,288.244147
OH,24990,56307,42.6,224.93042,265.87922,243.598591,285.061955
OK,21780,44373,60.5,221.83051,262.673146,239.760481,274.585982
OR,44270,57612,50.6,220.22272,267.67052,237.746709,282.814899
PA,28320,62994,39.4,226.670774,268.746121,243.31224,283.668415
RI,29280,63474,42.9,225.485537,265.050858,238.00173,281.44522
SC,21940,48375,54.7,217.969677,260.331423,237.089571,275.827866
SD,27590,39018,37.1,220.469525,267.079865,239.723095,284.641406
TN,26100,47563,55,218.613264,264.771229,240.667396,278.203381
TX,22570,48819,50.3,217.942913,260.655136,244.002472,283.79354
UT,25980,49393,38.2,226.143075,269.430665,242.562787,286.116911
VT,25840,52526,36.8,230.098617,273.961831,243.250399,290.355191
VA,29760,48670,36.7,228.971255,266.836053,246.612622,287.709299
WA,36450,52234,40.1,225.892889,267.250881,244.981422,286.513108
WV,39100,45453,51.5,216.253288,260.185273,235.204661,271.450709
WI,30350,53797,39.3,223.356356,269.533726,243.310211,289.077749
WY,26980,56775,37.1,228.160803,268.803363,246.759764,286.666547
