id,state,type_of_auth,hs_ged,bach,teacher_cert,add_test_req,consec_day_rec,num_consec,teacher_overall,recs_req,rec_src,thumbprint,emergency
1,AL,Substitute License,1,0,0,0,0,-1,-1,1,0,1,0
2,AK,Substitute Teacher (20 days or more),1,1,1,0,0,-1,-1,0,-1,1,0
3,AK,Substitute Teacher (< 20 days),1,0,0,0,1,20,1,0,-1,1,0
4,AZ,Substitute Certificate,1,1,0,0,1,120,1,0,-1,1,0
5,AZ,Emergency Substitute Certificate,1,0,0,0,1,120,1,0,-1,1,1
6,AR,Waiver for Long-Term Substitute Teachers,1,0,1,0,0,-1,-1,0,-1,0,0
7,AR,Waiver for Substitute Teachers,0,0,0,0,1,30,1,0,-1,0,0
8,CA,Emergency 30 Day Substitute Teaching Permit,1,1,0,1,0,-1,-1,0,-1,1,1
9,CA,Emergency Substitute Teaching Permit for Prospective Teachers,1,0,0,1,0,-1,-1,0,-1,1,1
10,CA,Emergency Career Substitute Permit,1,1,0,1,0,-1,-1,1,1,1,1
11,CO,One Year Substitute Authorization,1,0,0,0,0,-1,-1,1,0,1,0
12,CO,Three Year Substitute Authorization,1,1,0,0,0,-1,-1,0,-1,1,0
13,CO,Five Year Substitute Authorization,1,1,1,0,0,-1,-1,0,-1,1,0
14,CT,Waiver for Substitute Teaching Without Bachelor's Degree,1,0,0,0,1,40,1,0,-1,1,0
15,CT,Substitute Teaching Without Certification,1,1,0,0,0,-1,-1,0,-1,1,0
16,DE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0
17,DC,Substitute License,1,1,0,0,0,-1,-1,0,-1,0,0
18,FL,Substitute Authorization,1,0,0,0,0,-1,-1,0,-1,1,0
19,GA,Substitute Teacher ,1,0,0,0,1,10,0,0,-1,0,0
20,HI,Class III,1,1,1,0,0,-1,-1,0,-1,1,0
21,HI,Class II,1,1,0,0,0,-1,-1,0,-1,1,0
22,HI,Class I,0,0,0,0,0,-1,-1,0,-1,1,0
23,ID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0
24,IL,Substitute Teaching License,1,1,1,1,1,90,1,0,0,1,0
25,IN,Substitute Teacher Permit,1,0,0,0,0,-1,-1,0,-1,1,0
26,IA,Substitute Teaching License,1,1,1,0,1,90,1,0,-1,1,0
27,IA,Substitute Authorization,1,1,0,0,1,5,1,0,-1,1,0
28,KS,Standard Substitute License,1,1,0,0,1,90,1,0,-1,1,0
29,KS,Emergency Authorization,1,0,0,0,1,30,1,0,-1,1,1
30,KY,Substitute Teacher Certification,1,1,1,0,0,-1,-1,0,-1,0,0
31,KY,Emergency Substitute Teacher Certification,1,0,0,0,0,-1,-1,0,-1,0,1
32,KY,Emergency Substitute Teacher Certification - Career and Technical Education,1,0,0,0,0,-1,-1,0,-1,0,1
33,LA,N/A,1,0,0,0,0,-1,-1,0,-1,0,0
34,ME,"Substitute Certified, within Cert. Area",1,1,1,0,0,-1,-1,0,-1,1,0
35,ME,"Substitute Certified, Teaching Outside Cert. Area",1,1,1,0,1,90,1,0,-1,1,0
36,ME,Non-Certified Substitute with Two Years of College,1,1,0,0,1,60,1,0,-1,1,0
37,ME,Career and Technical Education Center Substitutes,1,1,0,0,1,60,1,0,-1,1,0
38,ME,Substitutes with HS Degree,1,0,0,0,1,60,1,0,-1,1,0
39,MD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0
40,MA,N/A,N/A,N/A,N/A,N/A,1,90,1,0,-1,1,0
41,MA,N/A,N/A,N/A,1,N/A,0,-1,-1,0,-1,1,0
42,MI,Full Year Permit,1,1,0,0,0,-1,-1,1,0,0,0
43,MI,Substitute Permit,1,0,0,0,1,90,1,1,0,0,0
44,MI,Emergency Permit,1,1,0,0,0,-1,-1,1,0,0,1
